DATE,HOUR,OPEN,HIGH,LOW,CLOSE
1999.01.03,00:00,1.1801,1.1862,1.1533,1.1585
1999.01.10,00:00,1.1575,1.179,1.1447,1.1563
1999.01.17,00:00,1.1565,1.1642,1.1539,1.1587
1999.01.24,00:00,1.1579,1.1608,1.1342,1.1367
1999.01.31,00:00,1.1383,1.1397,1.1247,1.126
1999.02.07,00:00,1.1262,1.136,1.1214,1.1306
1999.02.14,00:00,1.1299,1.1304,1.1055,1.1058
1999.02.21,00:00,1.1052,1.1079,1.0926,1.1025
1999.02.28,00:00,1.0982,1.1025,1.0786,1.0818
1999.03.07,00:00,1.0821,1.1057,1.0798,1.0905
1999.03.14,00:00,1.0909,1.107,1.0819,1.0889
1999.03.21,00:00,1.0909,1.0962,1.0715,1.0765
1999.03.28,00:00,1.0752,1.0823,1.068,1.0794
1999.04.04,00:00,1.0795,1.0884,1.0703,1.0794
1999.04.11,00:00,1.0822,1.0879,1.0629,1.0702
1999.04.18,00:00,1.0676,1.0703,1.056,1.0608
1999.04.25,00:00,1.0605,1.07,1.0547,1.0575
1999.05.02,00:00,1.0586,1.0827,1.0551,1.0758
1999.05.09,00:00,1.073,1.0833,1.0602,1.0657
1999.05.16,00:00,1.0675,1.0714,1.0544,1.0591
1999.05.23,00:00,1.0562,1.0647,1.0397,1.0429
1999.05.30,00:00,1.0456,1.0487,1.027,1.0376
1999.06.06,00:00,1.0359,1.0559,1.026,1.0513
1999.06.13,00:00,1.0507,1.0508,1.0288,1.04
1999.06.20,00:00,1.0383,1.0477,1.027,1.0429
1999.06.27,00:00,1.0397,1.0439,1.021,1.025
1999.07.04,00:00,1.0248,1.0271,1.0147,1.02
1999.07.11,00:00,1.0195,1.0252,1.0107,1.0201
1999.07.18,00:00,1.0186,1.057,1.0122,1.0524
1999.07.25,00:00,1.0521,1.0746,1.0516,1.0714
1999.08.01,00:00,1.0699,1.0827,1.0625,1.0735
1999.08.08,00:00,1.0725,1.0766,1.0559,1.0567
1999.08.15,00:00,1.0576,1.0695,1.0459,1.0675
1999.08.22,00:00,1.0671,1.068,1.0398,1.0465
1999.08.29,00:00,1.0479,1.0729,1.0435,1.0613
1999.09.05,00:00,1.0578,1.0645,1.0349,1.0368
1999.09.12,00:00,1.0357,1.0471,1.0286,1.0425
1999.09.19,00:00,1.0413,1.0543,1.0349,1.043
1999.09.26,00:00,1.0436,1.0767,1.0394,1.073
1999.10.03,00:00,1.0714,1.0779,1.0602,1.0631
1999.10.10,00:00,1.0616,1.0915,1.0608,1.0878
1999.10.17,00:00,1.0898,1.0904,1.0653,1.0693
1999.10.24,00:00,1.069,1.0705,1.0431,1.0527
1999.10.31,00:00,1.0551,1.0594,1.0344,1.0444
1999.11.07,00:00,1.0444,1.0463,1.0289,1.0319
1999.11.14,00:00,1.033,1.0445,1.0245,1.031
1999.11.21,00:00,1.0303,1.0341,1.008,1.0172
1999.11.28,00:00,1.0157,1.0203,0.9993,1.0031
1999.12.05,00:00,1.0025,1.0297,0.9991,1.0137
1999.12.12,00:00,1.0139,1.0247,1.0011,1.0077
1999.12.19,00:00,1.0084,1.0178,1.0041,1.0131
1999.12.26,00:00,1.0127,1.016,1.0017,1.0096
2000.01.02,00:00,1.0073,1.0415,1.0054,1.0298
2000.01.09,00:00,1.0286,1.037,1.0114,1.0122
2000.01.16,00:00,1.0129,1.0193,1.005,1.0087
2000.01.23,00:00,1.0028,1.0096,0.9736,0.9749
2000.01.30,00:00,0.9773,0.9947,0.9667,0.984
2000.02.06,00:00,0.9832,0.9971,0.9754,0.9884
2000.02.13,00:00,0.9877,0.9958,0.9763,0.9845
2000.02.20,00:00,0.9854,1.0089,0.9722,0.9746
2000.02.27,00:00,0.9728,0.9872,0.9401,0.9607
2000.03.05,00:00,0.9567,0.9698,0.9521,0.9639
