"Date","Open","High","Low","Close","Change"
"2000.01.03",1.0073,1.0278,1.0054,1.0246,1.500
"2000.01.04",1.0243,1.034,1.0213,1.0292,0.460
"2000.01.05",1.0293,1.0402,1.0284,1.0326,0.340
"2000.01.06",1.0325,1.0415,1.0272,1.033,0.040
"2000.01.07",1.0329,1.0332,1.026,1.0298,-0.320
"2000.01.10",1.0286,1.0305,1.0211,1.0251,-0.470
"2000.01.11",1.0253,1.0341,1.0246,1.0336,0.850
"2000.01.12",1.0337,1.037,1.0261,1.0308,-0.280
"2000.01.13",1.0309,1.0316,1.0237,1.026,-0.480
"2000.01.14",1.0261,1.0275,1.0114,1.0122,-1.380
"2000.01.17",1.0129,1.0148,1.0069,1.0119,-0.030
"2000.01.18",1.0118,1.0154,1.0072,1.0152,0.330
"2000.01.19",1.0152,1.0165,1.0085,1.0125,-0.270
"2000.01.20",1.0126,1.0188,1.0073,1.0167,0.420
"2000.01.21",1.0168,1.0193,1.005,1.0087,-0.800
"2000.01.24",1.0028,1.0077,0.9997,1.0071,-0.160
"2000.01.25",1.007,1.0096,0.9992,1.0012,-0.590
"2000.01.26",1.0012,1.0055,0.9995,1.0003,-0.090
"2000.01.27",1.0007,1.003,0.9868,0.9882,-1.210
"2000.01.28",0.9883,0.9895,0.9736,0.9749,-1.330
"2000.01.31",0.9773,0.9829,0.9667,0.9711,-0.380
"2000.02.01",0.9711,0.9782,0.9667,0.9713,0.020
"2000.02.02",0.9713,0.9808,0.9694,0.9765,0.520
"2000.02.03",0.9767,0.9947,0.971,0.9898,1.330
"2000.02.04",0.99,0.994,0.9747,0.984,-0.580
"2000.02.07",0.9832,0.9832,0.9754,0.9809,-0.310
"2000.02.08",0.981,0.9914,0.9786,0.9859,0.500
"2000.02.09",0.986,0.9971,0.9856,0.9934,0.750
"2000.02.10",0.9934,0.9962,0.9831,0.9852,-0.820
"2000.02.11",0.9853,0.9886,0.9786,0.9884,0.320
"2000.02.14",0.9877,0.9916,0.9776,0.9785,-0.990
"2000.02.15",0.9781,0.9862,0.9763,0.9813,0.280
"2000.02.16",0.9815,0.9878,0.979,0.9863,0.500
"2000.02.17",0.9862,0.9958,0.9837,0.988,0.170
"2000.02.18",0.9881,0.9902,0.9809,0.9845,-0.350
"2000.02.21",0.9854,0.9889,0.9843,0.9878,0.330
"2000.02.22",0.9878,1.0081,0.9874,1.0039,1.610
"2000.02.23",1.0038,1.0089,1.0011,1.0036,-0.030
"2000.02.24",1.0035,1.0042,0.9888,0.9911,-1.250
"2000.02.25",0.9914,0.993,0.9722,0.9746,-1.650
"2000.02.28",0.9728,0.9733,0.9401,0.9708,-0.380
"2000.02.29",0.9707,0.9872,0.9622,0.9635,-0.730
"2000.03.01",0.9635,0.9767,0.9626,0.9727,0.920
"2000.03.02",0.9728,0.9793,0.9615,0.9633,-0.940
"2000.03.03",0.963,0.9678,0.9577,0.9607,-0.260
"2000.03.06",0.9567,0.9672,0.9559,0.9579,-0.280
"2000.03.07",0.9579,0.9624,0.9525,0.9585,0.060
"2000.03.08",0.9583,0.9631,0.9521,0.9615,0.300
"2000.03.09",0.9614,0.9698,0.9595,0.9673,0.580
"2000.03.10",0.9673,0.969,0.9599,0.9639,-0.340
"2000.03.13",0.9627,0.973,0.9616,0.9645,0.060
"2000.03.14",0.9646,0.9692,0.959,0.9685,0.400
