DATE,HOUR,OPEN,HIGH,LOW,CLOSE
1971.01.01,00:00,0.5369,0.5388,0.5365,0.5387
1971.02.01,00:00,0.5386,0.5389,0.5379,0.5379
1971.03.01,00:00,0.5383,0.539,0.5382,0.5387
1971.04.01,00:00,0.5388,0.5389,0.5367,0.5384
1971.05.01,00:00,0.5385,0.5586,0.5385,0.5514
1971.06.01,00:00,0.5478,0.5598,0.5478,0.5592
1971.07.01,00:00,0.5592,0.5651,0.5586,0.5651
1971.08.01,00:00,0.5649,0.5775,0.5649,0.5755
1971.09.01,00:00,0.5758,0.5907,0.5758,0.5896
1971.10.01,00:00,0.5889,0.5901,0.5858,0.5858
1971.11.01,00:00,0.5865,0.5912,0.5841,0.5904
1971.12.01,00:00,0.5921,0.6016,0.5921,0.6006
1972.01.01,00:00,0.5977,0.6098,0.5976,0.6092
1972.02.01,00:00,0.6107,0.6197,0.6107,0.6149
1972.03.01,00:00,0.6149,0.6196,0.5965,0.6174
1972.04.01,00:00,0.6175,0.6175,0.612,0.615
1972.05.01,00:00,0.6151,0.6163,0.6139,0.6157
1972.06.01,00:00,0.6155,0.6221,0.6128,0.6206
1972.07.01,00:00,0.6208,0.6213,0.6155,0.6159
1972.08.01,00:00,0.6156,0.6157,0.6114,0.6132
1972.09.01,00:00,0.6129,0.6144,0.6104,0.6104
1972.10.01,00:00,0.6086,0.6117,0.6083,0.6101
1972.11.01,00:00,0.6107,0.6129,0.6092,0.6129
1972.12.01,00:00,0.6133,0.6134,0.6114,0.6114
1973.01.01,00:00,0.61,0.6203,0.6085,0.62
1973.02.01,00:00,0.6207,0.6902,0.6189,0.6881
1973.03.01,00:00,0.6987,0.7118,0.6882,0.6884
1973.04.01,00:00,0.6848,0.6931,0.684,0.6892
1973.05.01,00:00,0.6891,0.7252,0.6855,0.7248
1973.06.01,00:00,0.731,0.8049,0.7299,0.8039
1973.07.01,00:00,0.8146,0.8645,0.8126,0.8418
1973.08.01,00:00,0.8351,0.8366,0.7881,0.7944
1973.09.01,00:00,0.7978,0.8189,0.7966,0.8101
1973.10.01,00:00,0.8108,0.8193,0.7987,0.7997
1973.11.01,00:00,0.7977,0.7996,0.7334,0.7455
1973.12.01,00:00,0.7446,0.7446,0.7385,0.7418
1974.01.01,00:00,0.7081,0.7107,0.6774,0.7081
1974.02.01,00:00,0.7064,0.7363,0.7064,0.7307
1974.03.01,00:00,0.729,0.7817,0.729,0.7728
1974.04.01,00:00,0.7683,0.7989,0.7575,0.7956
1974.05.01,00:00,0.796,0.8164,0.7657,0.7747
1974.06.01,00:00,0.7778,0.7896,0.7569,0.7675
1974.07.01,00:00,0.7632,0.7798,0.7558,0.7594
1974.08.01,00:00,0.7595,0.7616,0.7342,0.735
1974.09.01,00:00,0.7359,0.7395,0.7311,0.7374
1974.10.01,00:00,0.739,0.765,0.7388,0.7586
1974.11.01,00:00,0.762,0.8021,0.7619,0.7903
1974.12.01,00:00,0.7831,0.7968,0.7821,0.7963
1975.01.01,00:00,0.8102,0.8498,0.8091,0.8361
1975.02.01,00:00,0.8299,0.8586,0.8216,0.8583
1975.03.01,00:00,0.859,0.859,0.8308,0.8339
1975.04.01,00:00,0.8369,0.8369,0.8153,0.8222
1975.05.01,00:00,0.8222,0.8429,0.8207,0.8352
1975.06.01,00:00,0.8364,0.8398,0.8288,0.8296
1975.07.01,00:00,0.8264,0.8271,0.7613,0.7616
1975.08.01,00:00,0.7617,0.7664,0.7544,0.7573
1975.09.01,00:00,0.7576,0.7598,0.7321,0.7383
1975.10.01,00:00,0.7494,0.7654,0.743,0.7646
1975.11.01,00:00,0.7655,0.7655,0.7449,0.7453
1975.12.01,00:00,0.7478,0.7485,0.7428,0.7432
1976.01.01,00:00,0.7468,0.7559,0.7466,0.7557
1976.02.01,00:00,0.7615,0.772,0.759,0.7614
1976.03.01,00:00,0.7581,0.7733,0.7579,0.7699
1976.04.01,00:00,0.774,0.7742,0.7679,0.7712
1976.05.01,00:00,0.7717,0.7723,0.7541,0.7544
1976.06.01,00:00,0.7536,0.7619,0.7532,0.7594
1976.07.01,00:00,0.7589,0.7693,0.7574,0.7692
1976.08.01,00:00,0.7713,0.7802,0.768,0.7735
1976.09.01,00:00,0.7759,0.8035,0.7751,0.8035
1976.10.01,00:00,0.7992,0.8163,0.7951,0.815
1976.11.01,00:00,0.811,0.8149,0.8071,0.8134
1976.12.01,00:00,0.8099,0.8171,0.8099,0.817
1977.01.01,00:00,0.8344,0.8357,0.8044,0.8123
1977.02.01,00:00,0.8093,0.8191,0.8073,0.819
1977.03.01,00:00,0.8176,0.8201,0.8152,0.8181
1977.04.01,00:00,0.8175,0.8309,0.8175,0.8303
1977.05.01,00:00,0.8304,0.8339,0.8242,0.8289
1977.06.01,00:00,0.8296,0.8363,0.828,0.8356
1977.07.01,00:00,0.8355,0.8708,0.8355,0.8542
1977.08.01,00:00,0.8507,0.8536,0.8359,0.8439
1977.09.01,00:00,0.8438,0.8469,0.839,0.8436
1977.10.01,00:00,0.8537,0.8691,0.8495,0.8691
1977.11.01,00:00,0.8731,0.8834,0.8648,0.8796
1977.12.01,00:00,0.8839,0.9098,0.8837,0.9092
1978.01.01,00:00,0.9357,0.9478,0.908,0.926
1978.02.01,00:00,0.9246,0.9704,0.9244,0.9704
1978.03.01,00:00,0.9683,0.979,0.9491,0.9788
1978.04.01,00:00,0.9742,0.9746,0.939,0.9431
1978.05.01,00:00,0.9445,0.9454,0.9165,0.9325
1978.06.01,00:00,0.9355,0.9441,0.9335,0.9439
1978.07.01,00:00,0.9469,0.9599,0.9447,0.9597
1978.08.01,00:00,0.9583,1.0053,0.9575,0.9834
1978.09.01,00:00,0.9887,1.011,0.9751,1.0083
1978.10.01,00:00,1.011,1.1347,1.0091,1.1149
1978.11.01,00:00,1.0517,1.0523,1.0021,1.0141
1978.12.01,00:00,1.0113,1.0282,1.0113,1.0265
1979.01.01,00:00,1.0747,1.0759,1.0432,1.0436
1979.02.01,00:00,1.0387,1.0638,1.0368,1.0558
1979.03.01,00:00,1.0544,1.0567,1.047,1.047
1979.04.01,00:00,1.0382,1.0394,1.0263,1.0301
1979.05.01,00:00,1.0318,1.0326,1.0183,1.0245
1979.06.01,00:00,1.0198,1.0649,1.0198,1.0646
1979.07.01,00:00,1.0617,1.0836,1.0617,1.0668
1979.08.01,00:00,1.0692,1.0733,1.0667,1.0719
1979.09.01,00:00,1.0728,1.1272,1.0725,1.1231
1979.10.01,00:00,1.1254,1.1259,1.0792,1.0846
1979.11.01,00:00,1.0881,1.1323,1.0864,1.1311
1979.12.01,00:00,1.1446,1.145,1.115,1.1255
1980.01.01,00:00,1.1437,1.1457,1.1214,1.1221
1980.02.01,00:00,1.1214,1.1285,1.1007,1.1008
1980.03.01,00:00,1.0967,1.0967,0.9995,1.001
1980.04.01,00:00,0.9943,1.0897,0.9895,1.0863
1980.05.01,00:00,1.0852,1.1098,1.0723,1.1006
1980.06.01,00:00,1.0967,1.1159,1.0965,1.1088
1980.07.01,00:00,1.1113,1.1279,1.0944,1.0961
1980.08.01,00:00,1.0916,1.1058,1.0817,1.0921
1980.09.01,00:00,1.0994,1.1015,1.0783,1.0787
1980.10.01,00:00,1.0817,1.0871,1.025,1.0256
1980.11.01,00:00,1.0226,1.0355,0.9987,1.0152
1980.12.01,00:00,1.0079,1.0087,0.9673,0.9749
1981.01.01,00:00,0.9905,1.0107,0.9174,0.9174
1981.02.01,00:00,0.9206,0.9403,0.8799,0.9179
1981.03.01,00:00,0.9068,0.9574,0.9049,0.9268
1981.04.01,00:00,0.933,0.9336,0.8836,0.8843
1981.05.01,00:00,0.8873,0.8879,0.8335,0.8391
1981.06.01,00:00,0.8347,0.8378,0.8085,0.8168
1981.07.01,00:00,0.8111,0.8145,0.7886,0.7902
1981.08.01,00:00,0.7728,0.8004,0.7598,0.7969
1981.09.01,00:00,0.7971,0.8768,0.7965,0.8414
1981.10.01,00:00,0.8424,0.8958,0.842,0.8746
1981.11.01,00:00,0.8777,0.888,0.8657,0.8855
1981.12.01,00:00,0.8792,0.8825,0.8567,0.8589
1982.01.01,00:00,0.8736,0.8748,0.8367,0.8432
1982.02.01,00:00,0.832,0.8352,0.8152,0.8181
1982.03.01,00:00,0.8188,0.8347,0.8088,0.8099
1982.04.01,00:00,0.8141,0.8391,0.8064,0.8388
1982.05.01,00:00,0.8363,0.8573,0.8328,0.8331
1982.06.01,00:00,0.8228,0.8283,0.7843,0.794
1982.07.01,00:00,0.7941,0.82,0.7778,0.7939
1982.08.01,00:00,0.8022,0.8086,0.775,0.7842
1982.09.01,00:00,0.7865,0.793,0.7689,0.7729
1982.10.01,00:00,0.7749,0.7859,0.7635,0.7636
1982.11.01,00:00,0.767,0.7943,0.7534,0.7936
1982.12.01,00:00,0.7929,0.8112,0.7891,0.7988
1983.01.01,00:00,0.8249,0.8389,0.7897,0.7921
1983.02.01,00:00,0.792,0.8192,0.7842,0.8021
1983.03.01,00:00,0.8005,0.8243,0.8005,0.805
1983.04.01,00:00,0.8057,0.8117,0.7928,0.7932
1983.05.01,00:00,0.7944,0.8036,0.7708,0.7733
1983.06.01,00:00,0.7667,0.7765,0.7603,0.7693
1983.07.01,00:00,0.7696,0.7696,0.7383,0.7383
